하카, 98, 196
바하, 82, 151
파아, 80, 176
파카, 54, 193
하마, 76, 158
가카, 99, 145
바라, 46, 193
나라, 94, 166
하자, 90, 159
차사, 51, 183
파바, 44, 141
카마, 66, 173
다타, 87, 178
파바, 43, 165
마라, 88, 152
하파, 52, 168
바카, 43, 174
차차, 66, 190
라하, 91, 193
타아, 85, 182
바자, 63, 156
바아, 67, 176
카파, 91, 157
라카, 80, 163
가카, 81, 187
차하, 84, 168
가나, 51, 192
다타, 56, 154
가파, 52, 180
자라, 51, 150
사마, 66, 151
바파, 45, 146
바나, 61, 152
바바, 53, 143
다가, 52, 162
다차, 60, 186
자가, 84, 165
가사, 79, 167
나다, 70, 170
하아, 60, 189
라사, 72, 165
타사, 77, 185
가카, 74, 173
차마, 70, 181
마바, 87, 194
자사, 46, 199
아마, 50, 157
아하, 68, 142
가자, 61, 144
아아, 97, 148
라다, 92, 195
바라, 79, 184
사바, 46, 164
차나, 55, 152
타다, 43, 167
다가, 89, 179
파카, 87, 181
파자, 74, 146
아사, 55, 160
라사, 52, 179
나라, 79, 160
다나, 72, 192
사사, 90, 156
마아, 70, 158
차라, 63, 168
나타, 73, 172
가바, 74, 164
라마, 53, 180
다타, 70, 167
사차, 41, 188
차타, 53, 175
타아, 43, 183
아다, 89, 180
하카, 65, 147
차마, 50, 151
사나, 59, 196
가다, 48, 146
다나, 55, 171
파아, 63, 175
하가, 77, 174
바아, 40, 158
아자, 60, 154
바하, 81, 162
라하, 69, 141
바차, 65, 198
하자, 56, 161
타가, 73, 152
가마, 61, 176
나나, 42, 168
나나, 63, 182
차나, 40, 164
가나, 98, 185
라아, 58, 180
바타, 52, 160
사타, 78, 166
아하, 51, 188
자라, 84, 193
가나, 63, 153
아아, 59, 140
차바, 81, 172
라아, 98, 150
다가, 89, 160
파자, 89, 141
다하, 42, 149
차타, 66, 162
다가, 44, 156
아사, 98, 184
라바, 52, 165
타아, 96, 143
사마, 62, 156
사다, 59, 171
자타, 79, 172
가아, 92, 156
하차, 46, 189
가타, 44, 155
아차, 48, 166
라아, 65, 146
파자, 54, 166
바자, 44, 194
바하, 55, 183
하바, 74, 186
하가, 87, 182
라자, 71, 146
타아, 51, 158
가다, 47, 184
라자, 57, 165
라차, 76, 155
사아, 59, 195
하바, 49, 167
카파, 74, 155
가사, 90, 168
카바, 79, 160
가라, 65, 191
타카, 87, 189
바파, 72, 161
가차, 83, 141
나카, 87, 171
자라, 42, 178
하차, 44, 188
파하, 93, 178
바하, 56, 153
마마, 53, 189
마자, 67, 179
라차, 72, 193
파하, 78, 152
라차, 88, 177
마라, 71, 190
바라, 68, 185
마다, 59, 183
파사, 57, 146
라나, 73, 163
마다, 77, 179
가다, 92, 152
아바, 67, 165
하자, 75, 150
가아, 67, 180
하파, 44, 167
자카, 52, 178
가파, 63, 199
자하, 95, 199
카파, 51, 180
아아, 48, 158
마나, 54, 197
자타, 54, 161
바카, 52, 147
하차, 70, 189
사카, 47, 171
타다, 89, 142
카파, 65, 183
타자, 84, 150
사바, 71, 182
아파, 67, 180
라라, 97, 197
다타, 52, 187
다마, 44, 181
마다, 91, 160
아하, 77, 198
다가, 91, 175
사카, 84, 144
파차, 82, 149
자차, 52, 192
하파, 77, 152
바마, 58, 190
아가, 83, 186
타나, 51, 190
마아, 90, 196
카라, 92, 146
차나, 59, 169
파라, 42, 189
타파, 79, 166
차라, 75, 171
사하, 90, 178
파하, 72, 185
사하, 48, 147
마자, 71, 197
카차, 58, 197
가카, 75, 167
타파, 63, 143
라나, 82, 199
아차, 62, 187
자사, 55, 186
아나, 74, 146
하아, 77, 145
마나, 54, 152
라사, 71, 193
가타, 64, 162
파나, 43, 148
다자, 40, 182
다사, 95, 155
카카, 59, 192
나바, 79, 197
바하, 71, 149
마다, 61, 141
나바, 90, 180
라나, 87, 149
하하, 99, 164
나자, 79, 163
자사, 82, 185
사마, 66, 173
다가, 56, 170
하다, 47, 174
자다, 96, 183
타가, 49, 156
하마, 50, 185
하바, 87, 153
파바, 84, 195
마파, 42, 141
마마, 83, 146
카카, 88, 168
자사, 75, 165
라가, 75, 146
카바, 89, 142
다사, 72, 186
자자, 52, 158
아사, 42, 180
마카, 96, 188
파타, 60, 192
파아, 42, 172
차타, 82, 168
마자, 73, 183
다카, 61, 178
아나, 48, 195
나카, 45, 182
바다, 83, 145
마바, 75, 150
자차, 50, 149
차가, 41, 170
카파, 70, 173
타마, 94, 199
타나, 83, 179
카가, 94, 181
하하, 73, 181
타나, 48, 159
다사, 97, 187
마나, 96, 195
아차, 91, 168
하나, 51, 141
아차, 49, 154
파나, 65, 166
다사, 54, 165
카타, 84, 174
타타, 97, 177
가사, 61, 145
아카, 53, 181
타다, 78, 143
파카, 66, 153
카타, 59, 189
타하, 86, 149
마파, 70, 196
나차, 55, 155
가라, 53, 168
나바, 43, 172
나파, 79, 197
파차, 99, 165
자나, 91, 178
하나, 45, 182
사차, 97, 155
아라, 57, 152
차사, 90, 152
아사, 49, 180
카아, 92, 193
타파, 66, 163
마파, 54, 176
차사, 99, 174
하나, 70, 199
라차, 83, 177
카다, 92, 180
가차, 52, 141
차바, 98, 175
사바, 43, 145
사하, 70, 149
다차, 68, 181
나나, 70, 146
하타, 75, 144
자카, 79, 180
라바, 59, 176
아라, 70, 183
마하, 98, 153
타바, 53, 170
타차, 78, 151
하아, 58, 180
자아, 61, 149
다다, 62, 153
카파, 80, 164
마나, 84, 157
하카, 92, 182
자파, 72, 199
사바, 90, 152
타나, 40, 188
다나, 52, 145
마사, 72, 196
마차, 54, 151
마가, 93, 141
타라, 63, 193
라마, 46, 141
아자, 85, 175
다카, 55, 152
타나, 71, 164
다자, 47, 188
자아, 80, 181
라하, 85, 188
마마, 70, 141
타라, 75, 177
다나, 75, 176
마바, 96, 180
자자, 53, 181
차사, 51, 152
자타, 98, 146
마바, 58, 188
다라, 86, 191
사파, 96, 177
마파, 53, 182
사나, 40, 155
카라, 81, 180
다타, 42, 150
가차, 41, 199
차나, 64, 187
자타, 59, 166
사다, 74, 156
카하, 57, 186
마라, 74, 173
나차, 85, 143
파나, 80, 147
자아, 84, 142
하마, 52, 168
카바, 44, 198
라하, 73, 169
타라, 91, 142
가마, 64, 167
차파, 60, 188
라차, 41, 153
타사, 63, 177
차라, 72, 176
하라, 70, 146
사라, 51, 196
차마, 81, 150
자카, 51, 163
사파, 71, 142
하사, 72, 196
라다, 67, 161
카라, 81, 194
사하, 71, 145
마다, 88, 147
사타, 43, 164
파차, 61, 188
나파, 47, 194
파파, 70, 196
파차, 46, 181
하마, 80, 149
타라, 72, 155
사차, 77, 190
자가, 94, 174
라자, 98, 163
카하, 51, 174
나타, 58, 157
가가, 44, 181
타아, 84, 141
사다, 77, 188
마사, 71, 155
다자, 95, 164
가마, 40, 153
카바, 78, 146
바자, 94, 176
마하, 61, 157
하나, 76, 170
나나, 63, 159
차차, 84, 165
파가, 50, 146
파타, 95, 144
자다, 42, 197
카자, 79, 194
자바, 92, 188
하가, 60, 170
차하, 74, 185
하바, 48, 167
가사, 48, 154
파파, 96, 141
라가, 67, 140
사사, 96, 144
가하, 94, 179
하타, 48, 168
파가, 99, 155
자사, 57, 165
파라, 88, 182
차아, 54, 186
타차, 63, 197
사마, 64, 161
가바, 56, 187
라라, 96, 144
자하, 89, 166
라나, 91, 159
파파, 54, 174
나차, 55, 150
사파, 97, 154
자파, 49, 183
아아, 73, 187
다라, 41, 151
자가, 98, 168
나다, 62, 174
차하, 41, 198
가아, 97, 186
차마, 83, 166
바아, 71, 195
파파, 95, 198
라자, 80, 190
라파, 40, 178
다파, 75, 181
카자, 40, 195
마자, 55, 170
카바, 97, 191
라마, 52, 147
카파, 48, 163
마자, 86, 189
사사, 77, 190
라차, 78, 184
카사, 50, 179
사라, 93, 172
바바, 57, 182
바바, 59, 158
하자, 44, 145
마가, 70, 176
아라, 95, 190
아카, 65, 198
카파, 80, 169
자라, 58, 162
파자, 75, 171
카하, 67, 144
자다, 54, 199
파나, 84, 142
바자, 52, 166
가라, 95, 190
타라, 65, 184
파나, 56, 177
나사, 56, 180
라다, 73, 192
타다, 68, 191
아자, 40, 171
라마, 70, 195
카파, 83, 140
나아, 92, 152
자파, 60, 140
카가, 79, 172
파다, 71, 191
다바, 65, 156
아나, 67, 183
다카, 98, 143
라파, 63, 144
타마, 98, 188
다아, 52, 144
가자, 94, 183
하라, 99, 143
마마, 90, 182
마마, 79, 177
바바, 44, 168
라아, 89, 171
사마, 73, 199
다사, 78, 160
사바, 89, 148
다마, 95, 196
사사, 78, 171
바차, 65, 185
바사, 42, 163
차하, 43, 192
파자, 62, 147
가파, 40, 192
파다, 94, 158
타파, 93, 146
가다, 62, 185
파바, 68, 155
가나, 96, 187
카마, 55, 151
자파, 61, 149
타가, 58, 174
바하, 50, 162
하아, 98, 182
카가, 46, 186
마가, 58, 176
사다, 50, 183
파아, 99, 162
차다, 43, 147
카마, 43, 151
라파, 79, 167
사자, 69, 146
차아, 97, 187
라가, 79, 149
사자, 97, 151
차다, 50, 160
하하, 53, 153
파바, 76, 186
마자, 85, 171
파나, 52, 183
파하, 62, 197
차나, 43, 173
마카, 56, 148
가카, 46, 146
다사, 72, 141
사바, 42, 155
차타, 88, 155
아바, 92, 169
카사, 97, 164
하다, 47, 177
차카, 84, 143
마바, 56, 198
나자, 56, 144
다아, 70, 159
가아, 86, 163
바카, 96, 192
라마, 79, 158
가바, 42, 188
아나, 60, 197
파차, 40, 161
아나, 49, 144
다타, 77, 173
아라, 80, 162
자라, 94, 167
카아, 57, 194
나자, 68, 192
가다, 73, 152
아자, 48, 166
사다, 94, 156
라하, 74, 182
바마, 68, 170
라자, 55, 193
차카, 40, 164
사하, 68, 176
차자, 86, 194
자바, 88, 194
나자, 56, 160
아파, 63, 187
아나, 74, 184
차가, 46, 176
타나, 79, 143
나라, 69, 181
라하, 66, 142
나바, 44, 179
나차, 47, 148
라사, 75, 191
가카, 42, 151
타사, 57, 194
아나, 47, 171
바바, 55, 174
차다, 57, 149
다마, 44, 164
파라, 90, 175
사아, 83, 186
바파, 45, 181
아아, 46, 197
하바, 54, 140
마차, 41, 185
아자, 72, 171
사차, 44, 176
하타, 97, 145
아사, 75, 197
다파, 58, 161
다카, 53, 165
라사, 57, 160
하바, 98, 178
사파, 49, 163
차바, 79, 170
카아, 95, 150
차차, 59, 147
마카, 61, 183
나가, 47, 157
가바, 53, 190
자카, 87, 140
바파, 61, 148
하가, 87, 194
다하, 47, 152
나다, 87, 178
다차, 84, 160
사타, 43, 197
가나, 74, 142
하자, 84, 147
차차, 73, 192
타바, 54, 167
파차, 58, 159
나카, 50, 172
라카, 47, 194
차아, 74, 181
가나, 89, 177
가자, 91, 198
하바, 92, 178
마파, 41, 199
하자, 50, 193
카파, 71, 182
차하, 51, 174
라바, 93, 151
파가, 59, 148
아나, 81, 156
바다, 49, 196
가바, 63, 172
파자, 63, 156
카마, 56, 167
타라, 99, 188
나사, 62, 172
사마, 68, 164
사타, 77, 185
나하, 40, 146
바가, 69, 169
마라, 99, 165
타라, 99, 158
다사, 81, 192
가가, 43, 175
파카, 62, 153
아자, 90, 172
마타, 92, 199
바바, 74, 176
라마, 64, 180
카라, 53, 183
가다, 54, 182
타카, 69, 197
아사, 56, 142
사나, 91, 194
마하, 89, 160
가카, 65, 170
바자, 88, 144
사아, 57, 174
마아, 77, 185
카아, 62, 194
타다, 66, 190
타카, 45, 170
차마, 97, 179
마마, 51, 174
카파, 94, 188
차사, 76, 177
차아, 70, 144
아아, 95, 148
차라, 71, 144
마가, 40, 183
가카, 67, 175
사자, 90, 185
하사, 57, 172
나마, 60, 183
마사, 52, 162
파파, 68, 154
다바, 56, 195
사사, 72, 194
나바, 62, 164
차카, 58, 199
하카, 98, 179
가다, 49, 195
마가, 99, 150
파바, 55, 187
다하, 84, 144
아자, 97, 186
타라, 93, 179
바사, 45, 146
타다, 47, 186
하하, 50, 159
바가, 76, 198
마파, 59, 178
카타, 59, 181
아사, 81, 151
타자, 69, 163
가사, 66, 151
사바, 75, 160
사타, 72, 155
하아, 58, 142
바다, 75, 166
차바, 84, 172
바카, 73, 166
타차, 64, 168
타마, 93, 190
타사, 68, 177
라나, 95, 186
바타, 42, 140
나다, 76, 188
사나, 66, 175
하자, 60, 167
가아, 91, 184
마타, 82, 162
파카, 40, 177
차카, 72, 180
나카, 40, 166
바파, 54, 179
사마, 59, 188
가가, 68, 179
아차, 42, 157
타차, 85, 173
사아, 67, 162
가바, 42, 182
타카, 58, 163
다사, 73, 160
자차, 78, 185
다하, 96, 191
다타, 50, 170
자아, 66, 181
마다, 86, 186
차다, 78, 176
바자, 90, 158
라아, 92, 160
다마, 70, 186
다바, 43, 199
타마, 56, 196
라사, 54, 196
가마, 56, 146
다파, 63, 199
사다, 63, 141
차가, 63, 146
타하, 68, 159
하라, 46, 168
자파, 76, 169
다나, 62, 195
파차, 72, 144
사사, 68, 181
하나, 97, 159
라카, 76, 186
바나, 83, 166
카타, 79, 151
라카, 71, 169
파마, 41, 181
나자, 78, 178
바타, 94, 184
사하, 61, 151
사카, 49, 183
자파, 43, 178
마파, 54, 193
아마, 49, 188
자나, 94, 154
하마, 58, 174
파마, 58, 168
라차, 56, 159
아나, 56, 156
라다, 69, 191
자사, 56, 164
타하, 85, 158
사마, 97, 163
카아, 70, 157
사타, 89, 151
타라, 83, 148
바라, 58, 172
차아, 60, 178
카타, 98, 181
사바, 62, 182
라자, 48, 164
다파, 40, 172
아나, 85, 149
나바, 50, 196
다나, 74, 192
파파, 44, 143
차가, 98, 198
카파, 55, 184
마마, 94, 171
카파, 41, 181
하라, 45, 164
가나, 79, 185
라마, 64, 176
자아, 60, 198
타타, 42, 142
아나, 80, 146
차아, 54, 189
차하, 67, 175
가다, 96, 187
바타, 44, 147
라차, 46, 167
사자, 79, 198
카하, 90, 160
마나, 64, 158
아나, 80, 172
하마, 80, 150
다가, 85, 160
파사, 79, 166
가마, 67, 173
가다, 70, 185
타나, 79, 167
나사, 83, 179
라가, 80, 163
나자, 87, 152
나파, 77, 162
마아, 54, 153
사바, 91, 186
자차, 40, 150
하가, 68, 175
라파, 80, 192
나사, 98, 173
다가, 59, 183
사파, 67, 173
가하, 53, 178
차카, 79, 157
아카, 46, 173
라다, 69, 143
바하, 88, 176
라나, 55, 184
차라, 73, 182
타파, 88, 149
사아, 58, 187
바차, 43, 175
다파, 70, 146
가카, 56, 143
바자, 59, 174
마바, 56, 143
사가, 50, 164
자바, 91, 173
마카, 79, 198
라다, 79, 145
마나, 70, 169
타가, 68, 152
마가, 44, 165
하라, 72, 186
카타, 81, 170
나파, 87, 171
다타, 43, 151
카마, 94, 156
자사, 94, 194
다파, 78, 151
아자, 56, 141
나차, 73, 157
아마, 50, 160
마차, 61, 142
타자, 74, 192
파가, 93, 191
가자, 57, 168
차파, 75, 169
아하, 73, 179
타자, 66, 182
사파, 63, 141
차사, 81, 179
다자, 87, 163
마바, 46, 193
타바, 44, 169
아자, 70, 181
카다, 82, 158
아바, 44, 183
파차, 88, 165
하마, 41, 165
파바, 64, 193
차하, 56, 168
라사, 90, 143
라사, 63, 196
타자, 61, 188
가파, 54, 161
사하, 90, 175
가파, 88, 188
다카, 89, 170
차나, 99, 185
카나, 62, 141
